node2  | [12:24:47] [node2] PAXOS LEARN/DECIDE slot=256 value=transfer
node2  | [12:24:47] [node2] LEDGER append seq=256 -> /data/node2.log
node2  | [12:24:47] [node2] PAXOS LEARN/DECIDE slot=257 value=transfer
node2  | [12:24:47] [node2] LEDGER append seq=257 -> /data/node2.log
node2  | [12:24:48] [node2] PAXOS LEARN/DECIDE slot=258 value=transfer
node2  | [12:24:48] [node2] LEDGER append seq=258 -> /data/node2.log
node2  | [12:24:48] [node2] PAXOS LEARN/DECIDE slot=259 value=transfer
node2  | [12:24:48] [node2] LEDGER append seq=259 -> /data/node2.log
node2  | [12:24:48] [node2] PAXOS LEARN/DECIDE slot=260 value=transfer
node2  | [12:24:48] [node2] LEDGER append seq=260 -> /data/node2.log
node2  | [12:24:49] [node2] PAXOS LEARN/DECIDE slot=261 value=transfer
node2  | [12:24:49] [node2] LEDGER append seq=261 -> /data/node2.log
node2  | [12:24:49] [node2] PAXOS LEARN/DECIDE slot=262 value=transfer
node2  | [12:24:49] [node2] LEDGER append seq=262 -> /data/node2.log
node2  | [12:24:49] [node2] PAXOS LEARN/DECIDE slot=263 value=transfer
node2  | [12:24:49] [node2] LEDGER append seq=263 -> /data/node2.log
node2  | [12:24:50] [node2] PAXOS LEARN/DECIDE slot=264 value=transfer
node2  | [12:24:50] [node2] LEDGER append seq=264 -> /data/node2.log
node2  | [12:24:50] [node2] PAXOS LEARN/DECIDE slot=265 value=transfer
node2  | [12:24:50] [node2] LEDGER append seq=265 -> /data/node2.log
node2  | [12:24:51] [node2] PAXOS LEARN/DECIDE slot=266 value=transfer
node2  | [12:24:51] [node2] LEDGER append seq=266 -> /data/node2.log
node2  | [12:24:51] [node2] PAXOS LEARN/DECIDE slot=267 value=transfer
node2  | [12:24:51] [node2] LEDGER append seq=267 -> /data/node2.log
node2  | [12:24:51] [node2] PAXOS LEARN/DECIDE slot=268 value=transfer
node2  | [12:24:51] [node2] LEDGER append seq=268 -> /data/node2.log
node2  | [12:24:52] [node2] PAXOS LEARN/DECIDE slot=269 value=transfer
node2  | [12:24:52] [node2] LEDGER append seq=269 -> /data/node2.log
node2  | [12:24:52] [node2] PAXOS LEARN/DECIDE slot=270 value=transfer
node2  | [12:24:52] [node2] LEDGER append seq=270 -> /data/node2.log
node2  | [12:24:52] [node2] PAXOS LEARN/DECIDE slot=271 value=transfer
node2  | [12:24:52] [node2] LEDGER append seq=271 -> /data/node2.log
node2  | [12:24:53] [node2] PAXOS LEARN/DECIDE slot=272 value=transfer
node2  | [12:24:53] [node2] LEDGER append seq=272 -> /data/node2.log
node2  | [12:24:53] [node2] PAXOS LEARN/DECIDE slot=273 value=transfer
node2  | [12:24:53] [node2] LEDGER append seq=273 -> /data/node2.log
node2  | [12:24:53] [node2] PAXOS LEARN/DECIDE slot=274 value=transfer
node2  | [12:24:53] [node2] LEDGER append seq=274 -> /data/node2.log
node2  | [12:24:54] [node2] PAXOS LEARN/DECIDE slot=275 value=transfer
node2  | [12:24:54] [node2] LEDGER append seq=275 -> /data/node2.log
node2  | [12:24:54] [node2] PAXOS LEARN/DECIDE slot=276 value=transfer
node3  | [12:24:48] [node3] PAXOS LEARN/DECIDE slot=260 value=transfer
node3  | [12:24:48] [node3] LEDGER append seq=260 -> /data/node3.log
node3  | [12:24:49] [node3] PAXOS LEARN/DECIDE slot=261 value=transfer
node3  | [12:24:49] [node3] LEDGER append seq=261 -> /data/node3.log
node3  | [12:24:49] [node3] PAXOS LEARN/DECIDE slot=262 value=transfer
node3  | [12:24:49] [node3] LEDGER append seq=262 -> /data/node3.log
node3  | [12:24:49] [node3] PAXOS LEARN/DECIDE slot=263 value=transfer
node3  | [12:24:49] [node3] LEDGER append seq=263 -> /data/node3.log
node3  | [12:24:50] [node3] PAXOS LEARN/DECIDE slot=264 value=transfer
node3  | [12:24:50] [node3] LEDGER append seq=264 -> /data/node3.log
node3  | [12:24:50] [node3] PAXOS LEARN/DECIDE slot=265 value=transfer
node3  | [12:24:50] [node3] LEDGER append seq=265 -> /data/node3.log
node3  | [12:24:51] [node3] PAXOS LEARN/DECIDE slot=266 value=transfer
node3  | [12:24:51] [node3] LEDGER append seq=266 -> /data/node3.log
node3  | [12:24:51] [node3] PAXOS LEARN/DECIDE slot=267 value=transfer
node3  | [12:24:51] [node3] LEDGER append seq=267 -> /data/node3.log
node3  | [12:24:51] [node3] PAXOS LEARN/DECIDE slot=268 value=transfer
node3  | [12:24:51] [node3] LEDGER append seq=268 -> /data/node3.log
node3  | [12:24:52] [node3] PAXOS LEARN/DECIDE slot=269 value=transfer
node3  | [12:24:52] [node3] LEDGER append seq=269 -> /data/node3.log
node3  | [12:24:52] [node3] PAXOS LEARN/DECIDE slot=270 value=transfer
node3  | [12:24:52] [node3] LEDGER append seq=270 -> /data/node3.log
node3  | [12:24:52] [node3] PAXOS LEARN/DECIDE slot=271 value=transfer
node3  | [12:24:52] [node3] LEDGER append seq=271 -> /data/node3.log
node3  | [12:24:53] [node3] PAXOS LEARN/DECIDE slot=272 value=transfer
node3  | [12:24:53] [node3] LEDGER append seq=272 -> /data/node3.log
node3  | [12:24:53] [node3] PAXOS LEARN/DECIDE slot=273 value=transfer
node3  | [12:24:53] [node3] LEDGER append seq=273 -> /data/node3.log
node3  | [12:24:53] [node3] PAXOS LEARN/DECIDE slot=274 value=transfer
node3  | [12:24:53] [node3] LEDGER append seq=274 -> /data/node3.log
node3  | [12:24:54] [node3] PAXOS LEARN/DECIDE slot=275 value=transfer
node3  | [12:24:54] [node3] LEDGER append seq=275 -> /data/node3.log
node3  | [12:24:54] [node3] PAXOS LEARN/DECIDE slot=276 value=transfer
node3  | [12:24:54] [node3] LEDGER append seq=276 -> /data/node3.log
node3  | [12:24:54] [node3] PAXOS LEARN/DECIDE slot=277 value=transfer
node3  | [12:24:54] [node3] LEDGER append seq=277 -> /data/node3.log
node3  | [12:24:55] [node3] PAXOS LEARN/DECIDE slot=278 value=transfer
node3  | [12:24:55] [node3] LEDGER append seq=278 -> /data/node3.log
node3  | [12:24:55] [node3] PAXOS LEARN/DECIDE slot=279 value=transfer
node3  | [12:24:55] [node3] LEDGER append seq=279 -> /data/node3.log
node3  | [12:24:56] [node3] PAXOS LEARN/DECIDE slot=280 value=transfer
node3  | [12:24:56] [node3] LEDGER append seq=280 -> /data/node3.log
node3  | [12:24:56] [node3] PAXOS LEARN/DECIDE slot=281 value=transfer
node3  | [12:24:56] [node3] LEDGER append seq=281 -> /data/node3.log
node3  | [12:24:56] [node3] PAXOS LEARN/DECIDE slot=282 value=transfer
node3  | [12:24:56] [node3] LEDGER append seq=282 -> /data/node3.log
node3  | [12:24:57] [node3] PAXOS LEARN/DECIDE slot=283 value=transfer
node3  | [12:24:57] [node3] LEDGER append seq=283 -> /data/node3.log
node3  | [12:24:57] [node3] PAXOS LEARN/DECIDE slot=284 value=transfer
node3  | [12:24:57] [node3] LEDGER append seq=284 -> /data/node3.log
node3  | [12:24:57] [node3] PAXOS LEARN/DECIDE slot=285 value=transfer
node3  | [12:24:57] [node3] LEDGER append seq=285 -> /data/node3.log
node3  | [12:24:58] [node3] PAXOS LEARN/DECIDE slot=286 value=transfer
node3  | [12:24:58] [node3] LEDGER append seq=286 -> /data/node3.log
node3  | [12:24:58] [node3] PAXOS LEARN/DECIDE slot=287 value=transfer
node3  | [12:24:58] [node3] LEDGER append seq=287 -> /data/node3.log
